,filename,time_difference
339,flevopark_5_audio1_2022-06-04_19-27-00_(3239).flac,-14868718.5
340,flevopark_5_audio1_2022-06-04_19-28-00_(3240).flac,-14868778.5
341,flevopark_5_audio1_2022-06-04_19-29-00_(3241).flac,-14868838.5
342,flevopark_5_audio1_2022-06-04_19-30-00_(3242).flac,-14868898.5
343,flevopark_5_audio1_2022-06-04_19-31-00_(3243).flac,-14868958.5
344,flevopark_5_audio1_2022-06-04_19-32-00_(3244).flac,-14869018.5
345,flevopark_5_audio1_2022-06-04_19-33-00_(3245).flac,-14869078.5
346,flevopark_5_audio1_2022-06-04_19-34-00_(3246).flac,-14869138.5
347,flevopark_5_audio1_2022-06-04_19-35-00_(3247).flac,-14869198.5
348,flevopark_5_audio1_2022-06-04_19-36-00_(3248).flac,-14869258.5
349,flevopark_5_audio1_2022-06-04_19-37-00_(3249).flac,-14869318.5
350,flevopark_5_audio1_2022-06-04_19-38-00_(3250).flac,-14869378.5
351,flevopark_5_audio1_2022-06-04_19-39-00_(3251).flac,-14869438.5
352,flevopark_5_audio1_2022-06-04_19-40-00_(3252).flac,-14869498.5
353,flevopark_5_audio1_2022-06-04_19-41-00_(3253).flac,-14869558.5
354,flevopark_5_audio1_2022-06-04_19-42-00_(3254).flac,-14869618.5
355,flevopark_5_audio1_2022-06-04_19-43-00_(3255).flac,-14869678.5
356,flevopark_5_audio1_2022-06-04_19-44-00_(3256).flac,-14869738.5
